ID,Name,trio
371b586fc5e991f7d43d64510032653d648ca71b9a9609f43f97f669c44e407fi0,INKs #29,https://www.trio.xyz/inscriptions/371b586fc5e991f7d43d64510032653d648ca71b9a9609f43f97f669c44e407fi0
954ba8cc3593cdea5c84690fb8055c0b1514586aa2ac4c79c219aff0e90ae630i0,INKs #30,https://www.trio.xyz/inscriptions/954ba8cc3593cdea5c84690fb8055c0b1514586aa2ac4c79c219aff0e90ae630i0
ef4276aa1f177b9995d8a16159fd3977e2ff7be68cd96768d97c8c7499ea4922i0,INKs #31,https://www.trio.xyz/inscriptions/ef4276aa1f177b9995d8a16159fd3977e2ff7be68cd96768d97c8c7499ea4922i0
f049fb63a8699a98758477c8b7f4ba10cac8d01ec16a4d4b6672549bdb8cbe22i0,INKs #32,https://www.trio.xyz/inscriptions/f049fb63a8699a98758477c8b7f4ba10cac8d01ec16a4d4b6672549bdb8cbe22i0
1f7478b8faa7e0c88ccb00746096213ae3d26d4d2c6432e7bf46dc712588bd01i0,INKs #33,https://www.trio.xyz/inscriptions/1f7478b8faa7e0c88ccb00746096213ae3d26d4d2c6432e7bf46dc712588bd01i0
8a13c4a1e69ba9c7ff03f52bff48fa4154f2231717930529b9b9c8c2d99e50bci0,INKs #34,https://www.trio.xyz/inscriptions/8a13c4a1e69ba9c7ff03f52bff48fa4154f2231717930529b9b9c8c2d99e50bci0
3759283301c585f04170b96beceba976e727665c50ba0c823e2605ff206266a6i0,INKs #35,https://www.trio.xyz/inscriptions/3759283301c585f04170b96beceba976e727665c50ba0c823e2605ff206266a6i0
6b958fa4b4368074b9692a881b1977a646a29cbb0418dedf6d0c432c888a70c9i0,INKs #36,https://www.trio.xyz/inscriptions/6b958fa4b4368074b9692a881b1977a646a29cbb0418dedf6d0c432c888a70c9i0
26198aed8f7b95bf78e0e466ceeb9c53c8dba6bee8f7dd1426e3afb2b1672101i0,INKs #37,https://www.trio.xyz/inscriptions/26198aed8f7b95bf78e0e466ceeb9c53c8dba6bee8f7dd1426e3afb2b1672101i0
f42af65ff4220b90692768bacb7217aaa93af4f48b7cc4dc278bc73bfd4d7fc5i0,INKs #38,https://www.trio.xyz/inscriptions/f42af65ff4220b90692768bacb7217aaa93af4f48b7cc4dc278bc73bfd4d7fc5i0
a2c1973562fb06930a176914c7ba5279d51a45a1fa7445df60e31e7e670c8fbei0,INKs #39,https://www.trio.xyz/inscriptions/a2c1973562fb06930a176914c7ba5279d51a45a1fa7445df60e31e7e670c8fbei0
976af44e4d7e64017c4eb93b80e97de4fbf0c8c88862fc3c697466e4950673d5i0,INKs #40,https://www.trio.xyz/inscriptions/976af44e4d7e64017c4eb93b80e97de4fbf0c8c88862fc3c697466e4950673d5i0
a734f94609a20eef78aa2e43598077a19acdf8c08c6e553512f785c2ee24b6f8i0,INKs #41,https://www.trio.xyz/inscriptions/a734f94609a20eef78aa2e43598077a19acdf8c08c6e553512f785c2ee24b6f8i0
0d81f0f7ea2c301b95dff63cb5c839ca5671e507a9a7db48bab695490b1e4a07i0,INKs #42,https://www.trio.xyz/inscriptions/0d81f0f7ea2c301b95dff63cb5c839ca5671e507a9a7db48bab695490b1e4a07i0
106680aec6a339112556b958b9bb1f67a7fa563c005d05c92a5ad66aeafc7035i0,INKs #43,https://www.trio.xyz/inscriptions/106680aec6a339112556b958b9bb1f67a7fa563c005d05c92a5ad66aeafc7035i0
a1a2cbb946d69fb62418c04e4dfb7426f4f975ab2ea6d1a8c6e0ad36155a15cbi0,INKs #44,https://www.trio.xyz/inscriptions/a1a2cbb946d69fb62418c04e4dfb7426f4f975ab2ea6d1a8c6e0ad36155a15cbi0
b0d663fa4cdc978c6cd92b0e43a9453ea121c37deadddafcf47fea0072bcb5dfi0,INKs #45,https://www.trio.xyz/inscriptions/b0d663fa4cdc978c6cd92b0e43a9453ea121c37deadddafcf47fea0072bcb5dfi0
a1bd604e85e17230830335113dab4702e97b63816e719e4a08878818d36f01aai0,INKs #46,https://www.trio.xyz/inscriptions/a1bd604e85e17230830335113dab4702e97b63816e719e4a08878818d36f01aai0
